Org Unit,First Name,Last Name,Nickname,Title,Client Name,Account Type,Email Consent Type,Direct Phone,Main Phone,Cell Phone,Permanent Address 1,Permanent Address City,Permanent Address State,Permanent Address Zip,Last Activity,Date Created,Department,Resource,Co-Resource,Primary E-mail,Contact Id,Record Status,Score,Social Networking URL #1,Skills,Industries,Distance,Happiness Level ,Testing colomns 
CA187 - Los Angeles Downtown OFFICE,Aooooo,Looooooo,Aooooo,Asst. to the CEO,To HeEv,Prospect,No Value Selected,,(323) 363-0000 Ext. 3053,,3834 S. W,Miami ,FL,90062,7/18/2018 6:16:04 PM,8/25/2017 6:52:57 PM,,TG 15,,a@toHeEv.org,58502320,Active,0,,,Healthcare/Health Services,0,100,sdf 1
CA187 - Los Angeles Downtown OFFICE,Mpppppp,Dppppppp,Mpppppp,Community Relations & Education Manager,To HeEv,Prospect,No Value Selected,,(323) 363-0000 Ext. 3050,,3835 S. W,Miami ,FL,90062,7/18/2018 6:15:00 PM,8/25/2017 6:50:43 PM,,TG 16,,md@toHeEv.org,58502302,Active,0,,,Healthcare/Health Services,0,101,sdf 2
CA187 - Los Angeles Downtown OFFICE,Lqqqqq,Gqqqqqq,Lqqqqq,Database and Network Supervisor,To HeEv,Prospect,No Value Selected,,(323) 363-0000 Ext. 3113,,3836 S. W,Miami ,FL,90062,3/1/2018 12:21:45 PM,8/25/2017 6:49:42 PM,,TG 17,,lg@toHeEv.org,58502285,Active,0,,,Healthcare/Health Services,0,102,sdf 3
CA187 - Los Angeles Downtown OFFICE,Trrrrrrrr,Hrrrrrrr,Trrrrrrrr,Program Manager,To HeEv,Prospect,No Value Selected,,(323) 363-0000,,3837 S. W,Miami ,FL,90062,7/18/2018 6:15:06 PM,8/25/2017 6:48:42 PM,,TG 18,,th@toHeEv.org,58502275,Active,0,,,Healthcare/Health Services,0,103,sdf 4
CA187 - Los Angeles Downtown OFFICE,Cssssssss,Cssssssss,Cssssssss,President,,Prospect,No Value Selected,,(323) 296-0000,,1409 W. Ve,Miami ,FL,90062,6/5/2017 4:11:44 PM,6/5/2017 4:11:43 PM,,TG 19,,,57406775,Active,0,,,Charitable/Not for Profit,0,104,sdf 5
CA187 - Los Angeles Downtown OFFICE,Otttttt,Sttttttt,Otttttt,,"Ste, Inc.",Prospect,No Value Selected,,(323) 296-0000,,1410 W. Ve,Miami ,FL,90062,9/13/2018 5:00:54 PM,6/5/2017 4:10:20 PM,,TG 20,,"hi@Ste, Inc..org",57406749,Active,0,,,Charitable/Not for Profit,0,105,sdf 6
CA187 - Los Angeles Downtown OFFICE,Ouuuuuu,Euuuuuuu,Ouuuuuu,President & Founder,50th Program,Prospect,No Value Selected,,(323) 545-0000,,P.O. Box 62,Miami ,FL,90062,9/13/2018 5:01:59 PM,6/5/2017 4:04:29 PM,,TG 21,,Ep@550thProgram.org,57406543,Active,0,,,Charitable/Not for Profit,0,106,sdf 7
CA187 - Los Angeles Downtown OFFICE,Jvvvvvvv,Dvvvvvv,Jvvvvvvv,First VP,50th Program,Prospect,No Value Selected,,(323) 545-0000,,P.O. Box 63,Miami ,FL,90062,9/13/2018 5:01:21 PM,6/5/2017 4:02:35 PM,,TG 22,,da@@550thProgram.org,57406507,Active,0,,,Charitable/Not for Profit,0,107,sdf 8
CA187 - Los Angeles Downtown OFFICE,Cwwwww,Mwwwww,Cwwwww,Second VP,50th Program,Prospect,No Value Selected,,(323) 545-0000,,P.O. Box 64,Miami ,FL,90062,9/13/2018 5:01:07 PM,6/5/2017 4:01:22 PM,,TG 23,,mo@550thProgram.org,57406441,Active,0,,,Charitable/Not for Profit,0,108,sdf 9
CA187 - Los Angeles Downtown OFFICE,Rxxxxxx,Vxxxxxxx,Rxxxxxx,,TEA Schools,Prospect,No Value Selected,,(323) 292-0000,,1701 Bro,Miami ,FL,90062,9/13/2018 5:00:51 PM,5/8/2017 5:01:20 PM,,TG 24,,rv@TEASchools.org,56975031,Active,0,,,"Charitable/Not for Profit, Education/College",0,109,sdf 10
CA187 - Los Angeles Downtown OFFICE,Myyyyy,Byyyyyy,Myyyyy,COO,TEA Schools,Prospect,No Value Selected,(323) 522-0000,(323) 292-0000,,1702 Bro,Miami ,FL,90062,9/13/2018 5:01:14 PM,5/8/2017 4:59:30 PM,,TG 25,,mb@TEASchools.org,56974983,Active,0,,,"Charitable/Not for Profit, Education/College",0,110,sdf 11
CA187 - Los Angeles Downtown OFFICE,Kzzzzzzz,Hzzzzzz,Kzzzzzzz,General Manager,The ZaGr,Prospect,No Value Selected,,(323) 596-0000,,1625 W. Ve,Miami ,FL,90062,7/18/2018 5:45:41 PM,10/11/2016 10:15:52 PM,,TG 26,,Ka@thezagr.com,53638891,Active,0,,,Consulting,0,111,sdf 12
